Province,Type,Value
Sichuan,offshore wind,0
Tianjin,offshore wind,97
Tibet,offshore wind,0
Xinjiang,offshore wind,0
Yunnan,offshore wind,0
Zhejiang,offshore wind,212
Anhui,solar PV,13700
Beijing,solar PV,620
Chongqing,solar PV,670
Fujian,solar PV,2020
Gansu,solar PV,9820
Guangdong,solar PV,7970
Guangxi,solar PV,2050
Guizhou,solar PV,10570
Hainan,solar PV,1430
Hebei,solar PV,21900
Heilongjiang,solar PV,3180
Henan,solar PV,11750
Hubei,solar PV,6980
Hunan,solar PV,3910
InnerMongolia,solar PV,12370
Jiangsu,solar PV,16840
Jiangxi,solar PV,7760
Jilin,solar PV,3380
Liaoning,solar PV,4000
Ningxia,solar PV,11970
Qinghai,solar PV,16010
Shaanxi,solar PV,10890
Shandong,solar PV,22720
Shanghai,solar PV,1370
Shanxi,solar PV,13090
Sichuan,solar PV,1910
Tianjin,solar PV,1640
Tibet,solar PV,1370
Xinjiang,solar PV,12660
Yunnan,solar PV,3880
Zhejiang,solar PV,15170
Anhui,hydroelectricity,0
Beijing,hydroelectricity,0
Chongqing,hydroelectricity,0
Fujian,hydroelectricity,0
Gansu,hydroelectricity,0
Guangdong,hydroelectricity,0
Guangxi,hydroelectricity,630
Guizhou,hydroelectricity,11385
Hainan,hydroelectricity,0
Hebei,hydroelectricity,0
Heilongjiang,hydroelectricity,0
Henan,hydroelectricity,0
Hubei,hydroelectricity,27075
Hunan,hydroelectricity,1200
InnerMongolia,hydroelectricity,0
Jiangsu,hydroelectricity,0
Jiangxi,hydroelectricity,0
Jilin,hydroelectricity,0
Liaoning,hydroelectricity,0
Ningxia,hydroelectricity,0
Qinghai,hydroelectricity,8917
Shaanxi,hydroelectricity,0
Shandong,hydroelectricity,0
Shanghai,hydroelectricity,0
Shanxi,hydroelectricity,0
Sichuan,hydroelectricity,67185
Tianjin,hydroelectricity,0
Tibet,hydroelectricity,0
Xinjiang,hydroelectricity,0
Yunnan,hydroelectricity,23930
Zhejiang,hydroelectricity,0
Anhui,nuclear,0
Beijing,nuclear,0
Chongqing,nuclear,0
Fujian,nuclear,11034
Gansu,nuclear,0
Guangdong,nuclear,16136
Guangxi,nuclear,2172
Guizhou,nuclear,0
Hainan,nuclear,1300
Hebei,nuclear,0
Heilongjiang,nuclear,0
Henan,nuclear,0
Hubei,nuclear,0
Hunan,nuclear,0
InnerMongolia,nuclear,0
Jiangsu,nuclear,6608
Jiangxi,nuclear,0
Jilin,nuclear,0
Liaoning,nuclear,5594
Ningxia,nuclear,0
Qinghai,nuclear,0
Shaanxi,nuclear,0
Shandong,nuclear,2717
Shanghai,nuclear,0
Shanxi,nuclear,0
Sichuan,nuclear,0
Tianjin,nuclear,0
Tibet,nuclear,0
Xinjiang,nuclear,0
Yunnan,nuclear,0
Zhejiang,nuclear,9086
Beijing,coal boiler,40231
Tianjin,coal boiler,20610.34
Hebei,coal boiler,23849.91
Shanxi,coal boiler,16568.95
InnerMongolia,coal boiler,23805.17
Liaoning,coal boiler,48315.06
Jilin,coal boiler,31636.33
Heilongjiang,coal boiler,28927.06
Shanghai,coal boiler,0
Jiangsu,coal boiler,1.999999998
Zhejiang,coal boiler,0
Anhui,coal boiler,252
Fujian,coal boiler,0
Jiangxi,coal boiler,0
Shandong,coal boiler,19399.19
Henan,coal boiler,3136.4
Hubei,coal boiler,0
Hunan,coal boiler,0
Guangdong,coal boiler,0
Guangxi,coal boiler,0
Hainan,coal boiler,0
Chongqing,coal boiler,0
Sichuan,coal boiler,59
Guizhou,coal boiler,225.75
Yunnan,coal boiler,31.9
Tibet,coal boiler,82.99999998
Shaanxi,coal boiler,18149.48
Gansu,coal boiler,19498.49
Qinghai,coal boiler,2530.06
Ningxia,coal boiler,4276.39
Xinjiang,coal boiler,32959.79
